Somerfield East,3830,3840,3850,3850
Somerfield West,3130,3100,3070,3040
Linwood East,2210,2230,2260,2230
Sydenham North,2110,2120,2150,2180
Hoon Hay South,2240,2240,2240,2210
Charleston (Christchurch city),1480,1500,1520,1530
Sydenham South,2900,2900,2900,2840
Bexley,2640,2680,2720,2700
Waltham,2030,2070,2100,2050
Westmorland,2250,2320,2400,2410
Woolston North,3540,3550,3570,3500
New Brighton,3450,3450,3430,3360
Cashmere West,3150,3190,3210,3190
Bromley South,3030,3030,3020,2950
Ensors,2390,2400,2400,2370
Beckenham,2480,2460,2440,2440
Bromley North,60,60,60,60
St Martins,2800,2800,2800,2770
Opawa,1390,1380,1360,1360
Woolston West,1260,1270,1280,1270
Woolston East,3330,3350,3360,3300
Huntsbury,2320,2360,2380,2400
Cashmere East,3490,3510,3530,3520
Hillsborough (Christchurch city),2450,2470,2480,2490
Woolston South,530,520,520,510
Port Hills,70,70,80,80
South New Brighton,3330,3290,3270,3280
Brookhaven-Ferrymead,1110,1100,1110,1140
Heathcote Valley,2290,2310,2320,2310
Mount Pleasant,3670,3740,3790,3840
Redcliffs,2020,2040,2070,2090
Governors Bay,910,920,940,940
Inlets other Christchurch city,0,0,0,0
Clifton Hill,1700,1740,1770,1780
Lyttelton,3100,3130,3160,3170
Inlet Port Lyttelton,0,0,0,0
Sumner,3670,3670,3670,3600
Teddington,240,250,260,260
Diamond Harbour,1530,1560,1620,1600
Inland water Lake Ellesmere/Te Waihora South,0,0,0,0
Banks Peninsula South,1210,1230,1240,1240
Eastern Bays-Banks Peninsula,640,630,630,630
Akaroa Harbour,740,730,730,740
Inlet Akaroa Harbour,0,0,0,0
Akaroa,770,790,800,790
Craigieburn,170,180,180,190
Torlesse,1210,1240,1270,1270
Glenroy-Hororata,1250,1270,1290,1270
Glentunnel,1230,1240,1290,1290
Darfield,2830,2900,2960,2960
Kirwee,1320,1340,1380,1450
Bankside,1760,1790,1830,1820
Charing Cross,920,920,940,950
Halkett,1700,1700,1740,1740
Newtons Road,3490,3510,3650,3650
West Melton,2210,2380,2530,2530
Burnham Camp,1280,1380,1410,1360
Rolleston Izone,40,40,40,40
Rolleston North West,3980,4170,4330,4460
Springston,2230,2230,2290,2300
Rolleston Central,3410,3470,3590,3560
Rolleston North East,4780,4980,5170,5220
Rolleston South West,2970,3170,3480,3830
Southbridge,2590,2590,2650,2610
Rolleston South East,3220,4100,5470,7560
Trents,1980,1990,2010,2000
Prebbleton,4680,4830,4990,5020
Irwell,1320,1320,1370,1350
Ladbrooks,1780,1800,1840,1880
Lincoln West,3130,3300,3420,3660
Lincoln East,3710,4170,4730,5260
Leeston,2290,2340,2380,2370
Tai Tapu,1210,1280,1330,1330
Motukarara,630,640,650,650
Inland water Lake Ellesmere/Te Waihora North,0,0,0,0
Ashburton Lakes,100,100,110,110
Cairnbrae,1510,1520,1570,1590
Ashburton Forks,2300,2350,2400,2410
Methven,1860,1880,1900,1920
Ealing-Lowcliffe,1630,1670,1720,1720
Eiffelton,2570,2600,2660,2690
Chertsey,1690,1680,1740,1760
Winchmore-Wakanui,1600,1620,1650,1680
Allenton North,2630,2630,2660,2680
Allenton South,2210,2190,2240,2240
Rakaia,1480,1500,1530,1560
Ashburton North,1070,1080,1090,1080
Allenton East,2180,2180,2220,2210
Tinwald North,1210,1250,1280,1310
Ashburton Central,150,150,160,160
Ashburton West,970,960,990,1020
Tinwald South,2420,2430,2450,2410
Ashburton East,1810,1840,1860,1860
Netherby,2210,2260,2320,2380
Hampstead,3020,3050,3100,3120
Ben McLeod,140,140,150,160
Arundel,1430,1450,1470,1490
Levels Valley,1070,1080,1090,1100
Geraldine,2750,2770,2780,2800
Rangitata,1690,1700,1710,1750
Waitohi (Timaru district),1810,1810,1820,1850
Pleasant Point,1430,1450,1460,1480
Temuka West,2220,2220,2240,2260
Hadlow,1470,1490,1500,1510
Levels,1250,1260,1270,1290
Temuka East,2380,2390,2410,2410
Gleniti North,1520,1540,1590,1590
Washdyke,1050,1080,1110,1140
Fairview,1670,1690,1720,1730
Gleniti South,2480,2470,2500,2510
Glenwood,1850,1850,1860,1850
Marchwiel West,1580,1590,1610,1610
Marchwiel East,2030,2050,2060,2040
Highfield North,2390,2370,2340,2340
Highfield South,1290,1300,1320,1310
Waimataitai-Maori Hill,2100,2120,2140,2120
Fraser Park,2840,2830,2840,2830
Seaview,2170,2190,2230,2250
Inlet Port Timaru,0,0,0,0
Watlington,2320,2320,2320,2300
Timaru Central,430,430,440,430
Timaru East,310,310,310,320
Parkside,2450,2470,2470,2460
Kensington (Timaru district),1510,1520,1530,1540
Mackenzie Lakes,1250,1360,1460,1440
Inland water Lake Pukaki,0,0,0,0
Inland water Lake Tekapo,0,0,0,0
Twizel,1530,1600,1660,1660
Opua (Mackenzie district),1410,1410,1410,1440
Fairlie,920,910,920,940
Hakataramea,870,890,900,910
Maungati,770,770,780,770
Lyalldale,710,720,720,730
Makikihi-Willowbridge,1050,1050,1100,1100
Waimate North,520,520,530,530
Morven-Glenavy-Ikawai,1140,1150,1160,1170
Waimate West,1380,1390,1390,1390
Waimate East,1670,1680,1670,1690
Aviemore,800,860,890,920
Inland water Lake Ohau,0,0,0,0
Danseys Pass,1010,1030,1040,1040
Oceanic Canterbury region,0,0,0,0
Motunau Island,0,0,0,0
