"Suburb","2018_Suburb_Population","2019_Suburb_Population","2020_Suburb_Population","2021_Suburb_Population","Number_of_Crime_Records_Sep2016_to_Aug2021","Number_of_Victims_Sep2016_to_Aug2021","Number_of_Crime_Types_Sep2016_to_Aug2021","Num_of_Crimes_per_1000_People","Num_of_Crime_Victims_per_1000_People"
"Eyrewell",1870,1900,1960,2000,79,83,4,40.3061224489796,42.3469387755102
"Fairlie",920,910,920,940,65,65,4,70.6521739130435,70.6521739130435
"Fairview",1670,1690,1720,1730,NA,NA,NA,NA,NA
"Fendalton",2060,2040,2030,2000,911,967,6,448.768472906404,476.354679802956
"Fernside",1360,1380,1400,1420,132,135,5,94.2857142857143,96.4285714285714
"Fraser Park",2840,2830,2840,2830,252,262,4,88.7323943661972,92.2535211267606
"Geraldine",2750,2770,2780,2800,235,244,6,84.5323741007194,87.7697841726619
"Gleniti North",1520,1540,1590,1590,NA,NA,NA,NA,NA
"Gleniti South",2480,2470,2500,2510,NA,NA,NA,NA,NA
"Glenroy-Hororata",1250,1270,1290,1270,NA,NA,NA,NA,NA
"Glentunnel",1230,1240,1290,1290,NA,NA,NA,NA,NA
"Glenwood",1850,1850,1860,1850,162,171,6,87.0967741935484,91.9354838709677
"Governors Bay",910,920,940,940,116,121,6,123.404255319149,128.723404255319
"Hadlow",1470,1490,1500,1510,NA,NA,NA,NA,NA
"Hagley Park",50,40,40,40,2404,2630,6,60100,65750
"Hakataramea",870,890,900,910,NA,NA,NA,NA,NA
"Halkett",1700,1700,1740,1740,NA,NA,NA,NA,NA
"Halswell North",2110,2130,2170,2300,NA,NA,NA,NA,NA
"Halswell South",2570,2630,2700,2750,328,344,5,121.481481481481,127.407407407407
"Halswell West",3760,3990,4170,4600,249,303,4,59.7122302158273,72.6618705035971
"Hampstead",3020,3050,3100,3120,322,339,5,103.870967741935,109.354838709677
"Hanmer Range",280,280,280,280,NA,NA,NA,NA,NA
"Hanmer Springs",1030,1070,1100,1120,179,189,4,162.727272727273,171.818181818182
"Harewood",1430,1410,1420,1400,514,554,5,361.971830985916,390.140845070423
"Hawthornden",2600,2600,2680,2710,224,238,4,83.5820895522388,88.8059701492537
"Heathcote Valley",2290,2310,2320,2310,339,369,5,146.120689655172,159.051724137931
"Hei Hei",3620,3610,3610,3600,NA,NA,NA,NA,NA
"Highfield North",2390,2370,2340,2340,NA,NA,NA,NA,NA
"Highfield South",1290,1300,1320,1310,NA,NA,NA,NA,NA
"Hillmorton",2920,2920,2950,2930,609,632,5,206.440677966102,214.237288135593
"Hillsborough (Christchurch city)",2450,2470,2480,2490,NA,NA,NA,NA,NA
"Holmwood",2200,2200,2220,2210,289,309,4,130.18018018018,139.189189189189
"Hoon Hay East",3320,3330,3340,3310,NA,NA,NA,NA,NA
"Hoon Hay South",2240,2240,2240,2210,198,212,6,88.3928571428572,94.6428571428571
"Hoon Hay West",3350,3350,3340,3270,NA,NA,NA,NA,NA
"Hornby Central",140,160,160,150,NA,NA,NA,NA,NA
