"","Agent","Network","Start_Date","End_Date","Percent_Complete","Name","lat","lon"
"178",43711,"C64973","01-Feb-2019","30-Oct-2021",100,"AucklandMangere 2 Ews",-36.9648,"174.78052"
"179",43845,"H41511","01-Sep-2019","29-Oct-2021",90,"Otaio @ Springbank Road",-44.57194,"171.15889"
"180",41351,"A6487G","01-Mar-2016","30-Oct-2021",100,"AucklandMotat Ews",-36.86297,"174.71185"
"181",37836,"D88332","01-Dec-2009","28-Oct-2021",80,"Tolaga Bay Wxt Aws",-38.38228,"178.30785"
"182",31828,"B77511","08-Apr-2011","24-May-2019",60,"White Island Aws",-37.51668,"177.17732"
"183",1410,"A64761","01-Jan-1954","30-Jun-1993",100,"AucklandWhenuapai Aero",-36.793,"174.624"
"184",23976,"A64762","01-Jun-2019","28-Oct-2021",100,"AucklandWhenuapai Aws",-36.78698,"174.63045"
"185",26492,"A64756","01-Jul-2006","28-Feb-2011",100,"Kumeu EwsAuckland Regional Council",-36.77822,"174.5574"
"186",37852,"A64776","01-Jan-2010","30-Oct-2021",100,"AucklandNorth Shore Albany Ews",-36.74827,"174.71377"
"187",36914,"H41702","01-May-2009","29-Oct-2021",90,"Waimate Cws",-44.74127,"171.0631"
"188",1520,"B65862","01-Sep-1990","21-Mar-2005",100,"Whitianga Aero Aws",-36.83237,"175.67542"
"189",40981,"B65863","01-Sep-2015","28-Oct-2021",100,"Whitianga Ews",-36.82817,"175.67231"
"190",36596,"H40214","01-Jan-2009","28-Oct-2021",100,"Pukaki Aerodrome Aws",-44.24519,"170.11671"
"191",36209,"H40661","01-Nov-2008","29-Oct-2021",90,"Hakataramea Valley Cws",-44.63466,"170.64731"
"192",1400,"A64683","01-Oct-1999","28-Oct-2021",100,"Whangaparaoa Aws",-36.60268,"174.83458"
"193",5142,"I41902","01-Oct-1999","28-Oct-2021",100,"Oamaru Airport Aws",-44.97212,"171.08108"
"194",5141,"I41901","01-Jan-1972","31-Oct-1985",90,"Oamaru Airport",-44.976,"171.083"
"195",17838,"A64464","01-Dec-1999","29-Oct-2021",100,"Warkworth Ews",-36.43435,"174.66766"
"196",40986,"I51003","01-Oct-2015","29-Oct-2021",100,"Oamaru Ews",-45.05679,"171.02261"
"197",18594,"I50087","01-Dec-2000","30-Oct-2021",100,"Windsor Ews",-45.00829,"170.82281"
"198",5212,"I49592","01-May-1985","29-Oct-2021",100,"Tara Hills Aws",-44.52612,"169.88948"
"199",25937,"I50194","01-Oct-2005","28-Oct-2021",100,"Oamaru Aws",-45.10148,"170.95052"
"200",4097,"F39803","01-May-1982","28-Oct-2021",90,"Haast Aws",-43.86003,"169.00652"
"201",2692,"D78531","01-Dec-1990","28-Oct-2021",100,"Hicks Bay Aws",-37.56113,"178.31462"
"202",1340,"A64282","01-Jan-1971","29-Oct-2021",100,"Leigh 2 Ews",-36.27107,"174.79903"
"203",18593,"I50115","01-Dec-2000","30-Oct-2021",100,"Ranfurly Ews",-45.12427,"170.10045"
"204",25119,"A53987","01-Nov-2003","30-Oct-2021",100,"Dargaville 2 Ews",-35.93145,"173.85317"
"205",5323,"I50471","01-Jan-1972","30-Sep-2021",100,"Palmerston",-45.47554,"170.71444"
"206",9654,"A55912","01-Jan-1994","28-Oct-2021",90,"Mokohinau Aws",-35.90293,"175.11537"
"207",7426,"I49723","01-Jun-1992","29-Oct-2021",100,"Wanaka Aero Aws",-44.722,"169.244"
"208",5535,"I59065","01-Sep-1985","30-Oct-2021",100,"Lauder Ews",-45.0401,"169.68419"
"209",41237,"I49614","01-Nov-2015","29-Oct-2021",100,"Wanaka Cws",-44.69965,"169.14273"
"210",1283,"A54733","01-Jan-1971","29-Feb-1988",100,"Whangarei Aero",-35.76955,"174.36028"
"211",1287,"A54737","01-Sep-1990","28-Oct-2021",100,"Whangarei Aero Aws",-35.76694,"174.36553"
"212",40980,"A54738","01-Sep-2015","30-Oct-2021",100,"Whangarei Ews",-35.7444,"174.32868"
"213",37131,"A53762","01-Jul-2009","29-Oct-2021",90,"Trounson Cws",-35.72035,"173.65153"
"214",18437,"I50513","01-Sep-2000","30-Oct-2021",100,"Middlemarch Ews",-45.51814,"170.13561"
"215",26381,"I59013","01-May-2006","30-Oct-2021",100,"Cromwell Ews",-45.03392,"169.1955"
"216",41163,"I5923D","01-Jul-2013","28-Oct-2021",100,"Alexandra Aws",-45.21452,"169.37549"
"217",5578,"I59236","05-May-1990","30-Sep-2021",90,"Alexandra",-45.246,"169.38956"
"218",39564,"I5923C","01-Jun-2011","30-Oct-2021",100,"Clyde 2 Ews",-45.20342,"169.3182"
"219",43904,"I5923E","01-Sep-2019","30-Sep-2021",100,"Alexandra Ews",-45.25458,"169.38448"
"220",15752,"I50954","01-Sep-1997","30-Oct-2021",100,"DunedinMusselburgh Ews",-45.90129,"170.5147"
"221",1134,"A53487","01-Dec-1985","29-Oct-2021",100,"Kaikohe Aws",-35.41722,"173.82289"
"222",5451,"I58075","02-Jul-1991","29-Oct-2021",100,"Queenstown Aero Aws",-45.01762,"168.7402"
"223",5450,"I58074","01-Jan-1972","31-Aug-1992",100,"Queenstown Aero",-45.024,"168.735"
"224",40257,"I48842","01-Jun-2013","30-Jun-2020",100,"Mt Larkins Ews",-44.88526,"168.48044"
"225",5446,"I58061","01-Jan-1972","05-Aug-2007",80,"Queenstown",-45.03476,"168.66364"
"226",7339,"I50922","01-Dec-1991","29-Oct-2021",100,"Dunedin Aero Aws",-45.92675,"170.19684"
"227",5397,"I50921","01-Jan-1972","31-Dec-1991",100,"Dunedin Aero",-45.929,"170.196"
"228",41262,"A54212","01-May-2016","29-Oct-2021",100,"Russell Cws",-35.26835,"174.136"
"229",1087,"A53293","01-Apr-1978","30-May-2008",90,"Kerikeri Aero 2",-35.26469,"173.91134"
"230",38673,"I59534","01-Jun-2010","27-Oct-2021",70,"Roxburgh Wxt Aws",-45.51717,"169.31316"
"231",37258,"A53295","01-Sep-2008","28-Oct-2021",100,"Kerikeri Aerodrome Aws",-35.26279,"173.91136"
"232",5645,"I59633","09-Mar-1985","31-Dec-1991",100,"Ettrick No.2",-45.623,"169.348"
"233",1056,"A53191","01-Oct-1981","29-Oct-2021",100,"Kerikeri Ews",-35.183,"173.926"
"234",1196,"A54101","02-Dec-1983","28-Oct-2021",60,"Purerua Aws",-35.12544,"174.01681"
"235",18309,"F47693","01-Aug-2000","28-Oct-2021",100,"Milford Sound Aws",-44.6733,"167.9243"
"236",40987,"F47694","01-Sep-2019","30-Oct-2021",100,"Milford Sound Ews",-44.67399,"167.92299"
"237",17067,"A53127","01-Jan-1999","30-Oct-2021",100,"Kaitaia Ews",-35.13352,"173.26294"
"238",43952,"A53028","01-Jul-2019","31-Aug-2021",100,"Kaitaia Aero Aws",-35.06779,"173.28628"
"239",18183,"A53026","01-Jul-2000","30-Oct-2021",100,"Kaitaia Aero Ews",-35.0677,"173.2874"
"240",37382,"I48905","01-Sep-2009","29-Oct-2021",100,"EglintonKnobs Flat Cws",-44.97781,"168.018"
"241",38830,"F47873","01-May-2011","29-Oct-2021",80,"Castle Mount Ews",-44.83407,"167.77752"
"242",5867,"I69273","01-Jan-1972","30-Aug-2021",70,"Balclutha Finegand",-46.273,"169.739"
"243",26163,"I69276","01-Jan-2006","30-Oct-2021",100,"BalcluthaTelford Ews",-46.29282,"169.7315"
"244",40639,"I58872","01-Jul-2014","29-Oct-2021",90,"Waipounamu Cws",-45.82525,"168.71649"
"245",40845,"I58632","01-Feb-2015","29-Oct-2021",100,"Five Rivers Cws",-45.6259,"168.36702"
"246",5893,"I69482","01-Aug-1983","28-Oct-2021",90,"Nugget Point Aws",-46.44767,"169.81215"
"247",5496,"I58744","01-May-1982","28-Oct-2021",90,"Lumsden Aws",-45.74512,"168.44975"
"248",35614,"I57261","27-Feb-2009","29-Oct-2021",90,"Murchison Mtns Ews",-45.22172,"167.62988"
"249",42975,"I68197","01-Jul-2017","30-Oct-2021",100,"Gore Ews",-46.12375,"168.91938"
"250",5778,"I68182","01-Aug-1986","29-Oct-2021",100,"Gore Aws",-46.11171,"168.8876"
"251",37047,"I57262","01-Jun-2009","30-Jun-2021",90,"Takahe Valley Cws",-45.29644,"167.68254"
"252",5430,"I57563","01-Feb-1991","28-Oct-2021",100,"Manapouri Aero Aws",-45.53285,"167.64162"
"253",1002,"A42462","01-Jun-1999","27-Oct-2021",100,"Cape Reinga Aws",-34.42964,"172.68186"
"254",18603,"I68011","01-Nov-2000","30-Apr-2005",80,"Wreys Bush Raws",-46.02861,"168.11083"
"255",38674,"I57992","01-Dec-2010","28-Oct-2021",70,"Birchwood Wxt Aws",-45.94412,"167.90081"
"256",9533,"F56280","01-Jan-1994","26-Oct-2021",100,"Secretary Island Aws",-45.22092,"166.88498"
"257",12444,"I68437","01-Sep-2015","29-Oct-2021",100,"Invercargill Aero 2 Ews",-46.41727,"168.33045"
"258",5814,"I68433","01-Jan-1954","30-Oct-2021",100,"Invercargill Aero",-46.41741,"168.33052"
"259",11104,"I68435","01-Mar-1995","29-Oct-2021",100,"Invercargill Aero Aws",-46.41104,"168.31779"
"260",5823,"I68533","01-Jan-1972","30-Oct-2021",100,"Tiwai Point Ews",-46.587,"168.376"
"261",37381,"I67101","01-Sep-2009","30-Jun-2020",80,"Waitutu Cws",-46.1918,"167.06611"
"262",5836,"I68913","01-Mar-1976","31-Dec-1991",30,"Stewart Is",-46.90051,"168.12851"
"263",5745,"I67761","03-Dec-1987","31-Mar-1990",70,"Codfish Island",-46.767,"167.633"
"264",4141,"F66162","01-Jan-1991","28-Oct-2021",90,"Puysegur Point Aws",-46.1562,"166.61299"
"265",5909,"I77241","01-Sep-1991","28-Oct-2021",90,"South West Cape Aws",-47.27675,"167.4629"
