"","Agent","Network","Start_Date","End_Date","Percent_Complete","Name","lat","lon"
"103",24120,"H3256F","01-Nov-2002","29-Oct-2021",100,"ChristchurchKyle St Ews",-43.53074,"172.60769"
"104",1858,"B86704","01-Jun-1990","28-Oct-2021",100,"Taupo Aws",-38.74252,"176.08105"
"105",1856,"B86702","01-Feb-1976","30-Nov-1989",100,"Taupo Aero",-38.74139,"176.08251"
"106",37016,"C85552","01-May-2009","29-Oct-2021",100,"Pureora Forest Cws",-38.517,"175.58"
"107",4651,"H31172","01-Jan-1964","31-Aug-2013",100,"Craigieburn Forest",-43.154,"171.714"
"108",39944,"D96286","02-Nov-2012","08-Oct-2021",90,"Tutira Cws",-39.22428,"176.83882"
"109",40985,"H32674","01-Oct-2015","30-Oct-2021",100,"Diamond Harbour Ews",-43.63312,"172.72808"
"110",23899,"C85316","01-Jun-2003","30-Oct-2021",90,"Te Kuiti Ews",-38.33174,"175.15356"
"111",4960,"H33712","02-Apr-1984","28-Oct-2021",90,"Le Bons Bay Aws",-43.7461,"173.1219"
"112",3909,"F20793","01-Jan-1964","30-Oct-2021",100,"Hokitika Aero",-42.71228,"170.98428"
"113",41322,"F20796","01-Feb-2016","30-Oct-2021",100,"Hokitika Ews",-42.71228,"170.98428"
"114",3910,"F20794","01-May-1982","29-Oct-2021",90,"Hokitika Aws",-42.71296,"170.98437"
"115",17603,"H32645","01-Jul-1999","30-Oct-2021",100,"LincolnBroadfield Ews",-43.62622,"172.4704"
"116",39063,"H32403","01-Jul-2011","30-Apr-2015",80,"DarfieldForest Plains Raws",-43.47962,"172.08417"
"117",2136,"C84174","01-May-1983","28-Oct-2021",90,"Port Taharoa Aws",-38.17032,"174.70373"
"118",36593,"H32895","01-Jan-2009","27-Oct-2021",100,"Akaroa Ews",-43.80938,"172.96574"
"119",17610,"H31463","01-Jul-1999","30-Nov-2017",100,"Snowdon Raws",-43.47,"171.672"
"120",39066,"H32735","01-Apr-2011","31-Oct-2017",100,"Leeston Raws",-43.76153,"172.30495"
"121",41389,"C85034","01-Apr-2016","29-Oct-2021",100,"Waikeria Ews",-38.09468,"175.3876"
